Date,NAV per Share,Ex-Dividends,,,
02-Dec-09,84.74,0,,,
03-Dec-09,84.58,0,,,
04-Dec-09,84.77,0,,,
07-Dec-09,85.14,0,,,
08-Dec-09,85.15,0,,,
09-Dec-09,85.16,0,,,
10-Dec-09,85.41,0,,,
11-Dec-09,85.57,0,,,
14-Dec-09,85.79,0,,,
15-Dec-09,85.86,0,,,
16-Dec-09,86.21,0,,,
17-Dec-09,86.35,0,,,
18-Dec-09,86.43,0,,,
21-Dec-09,86.44,0,,,
22-Dec-09,86.45,0,,,
23-Dec-09,86.83,0,,,
24-Dec-09,86.88,0,,,
28-Dec-09,86.9,0,,,
29-Dec-09,86.38,0.58,,,
30-Dec-09,86.46,0,,,
31-Dec-09,86.51,0,,,
04-Jan-10,86.89,0,,,
05-Jan-10,87.02,0,,,
06-Jan-10,87.59,0,,,
07-Jan-10,87.89,0,,,
08-Jan-10,88.14,0,,,
11-Jan-10,88.22,0,,,
12-Jan-10,88.33,0,,,
13-Jan-10,88.32,0,,,
14-Jan-10,88.3,0,,,
15-Jan-10,88.24,0,,,
19-Jan-10,88.28,0,,,
20-Jan-10,87.98,0,,,
21-Jan-10,87.92,0,,,
22-Jan-10,87.58,0,,,
25-Jan-10,87.13,0,,,
26-Jan-10,87.02,0,,,
27-Jan-10,86.77,0,,,
28-Jan-10,86.8,0,,,
29-Jan-10,86.82,0,,,
01-Feb-10,86.18,0.66,,,
02-Feb-10,86.2,0,,,
03-Feb-10,86.31,0,,,
04-Feb-10,86.29,0,,,
05-Feb-10,85.83,0,,,
08-Feb-10,85.11,0,,,
09-Feb-10,84.81,0,,,
10-Feb-10,84.32,0,,,
11-Feb-10,83.91,0,,,
12-Feb-10,83.84,0,,,
16-Feb-10,84.05,0,,,
17-Feb-10,84.86,0,,,
18-Feb-10,85.12,0,,,
19-Feb-10,85.56,0,,,
22-Feb-10,86.02,0,,,
23-Feb-10,86.04,0,,,
24-Feb-10,86.02,0,,,
25-Feb-10,85.88,0,,,
26-Feb-10,85.96,0,,,
01-Mar-10,85.5,0.65,,,
02-Mar-10,85.77,0,,,
03-Mar-10,86.01,0,,,
04-Mar-10,86.15,0,,,
05-Mar-10,86.33,0,,,
08-Mar-10,86.65,0,,,
09-Mar-10,86.92,0,,,
10-Mar-10,87.12,0,,,
11-Mar-10,87.17,0,,,
12-Mar-10,87.14,0,,,
15-Mar-10,87.05,0,,,
16-Mar-10,87.15,0,,,
17-Mar-10,87.2,0,,,
18-Mar-10,87.33,0,,,
19-Mar-10,87.42,0,,,
22-Mar-10,87.38,0,,,
23-Mar-10,87.3,0,,,
24-Mar-10,87.35,0,,,
25-Mar-10,87.44,0,,,
26-Mar-10,87.53,0,,,
29-Mar-10,87.68,0,,,
30-Mar-10,87.67,0,,,
31-Mar-10,87.61,0,,,
01-Apr-10,86.89,0.66,,,
05-Apr-10,87.24,0,,,
06-Apr-10,87.15,0,,,
07-Apr-10,87.26,0,,,
08-Apr-10,87.33,0,,,
09-Apr-10,87.38,0,,,
12-Apr-10,87.62,0,,,
13-Apr-10,87.78,0,,,
14-Apr-10,88.16,0,,,
15-Apr-10,88.24,0,,,
16-Apr-10,88.39,0,,,
19-Apr-10,88.4,0,,,
20-Apr-10,88.34,0,,,
21-Apr-10,88.44,0,,,
22-Apr-10,88.51,0,,,
23-Apr-10,88.57,0,,,
26-Apr-10,88.78,0,,,
27-Apr-10,88.84,0,,,
28-Apr-10,88.69,0,,,
29-Apr-10,88.7,0,,,
30-Apr-10,88.79,0,,,
03-May-10,88.2,0.64,,,
04-May-10,88.17,0,,,
05-May-10,87.69,0,,,
06-May-10,86.85,0,,,
07-May-10,85.59,0,,,
10-May-10,85.83,0,,,
11-May-10,85.94,0,,,
12-May-10,86.2,0,,,
13-May-10,86.75,0,,,
14-May-10,86.42,0,,,
17-May-10,86.06,0,,,
18-May-10,86.16,0,,,
19-May-10,85.63,0,,,
20-May-10,84.77,0,,,
