,0
2008-02-22,0.0004581089586084275
2008-02-25,0.0009344451071633397
2008-02-26,0.0019371826562133432
2008-02-27,0.000507039468504944
2008-02-28,0.0012429021945472574
2008-02-29,-0.00017727499116393375
2008-03-01,-0.0012154859133753915
2008-03-03,-0.00013270340940574332
2008-03-04,-0.0005812306524339839
2008-03-05,-0.0002117548515757628
2008-03-06,-0.00010606875238261537
2008-03-07,0.00026483497827567426
2008-03-10,-0.00010614040208234421
2008-03-11,0.0007420817015419967
2008-03-12,-0.001906616147348661
2008-03-13,-0.0003729524268233364
2008-03-14,-0.00266269465108937
2008-03-17,0.0010154846698398057
2008-03-18,-0.0019255786380523165
2008-03-19,0.0007492566145732571
2008-03-20,0.001767114912121226
2008-03-24,0.001655093071960767
2008-03-25,-0.00021404224267540517
