Date,Index Level,NAV per Share,Ex-Dividends,Shares Outstanding
29-Apr-13,118.38,110.23,--,"38,400,000.00"
30-Apr-13,118.38,110.23,--,"38,400,000.00"
01-May-13,118.38,110.23,0,"38,000,000.00"
02-May-13,118.38,110.23,--,"38,000,000.00"
03-May-13,118.37,110.22,--,"38,000,000.00"
06-May-13,118.38,110.23,--,"38,000,000.00"
07-May-13,118.38,110.23,--,"38,000,000.00"
08-May-13,118.38,110.24,--,"39,500,000.00"
09-May-13,118.38,110.24,--,"39,500,000.00"
10-May-13,118.38,110.23,--,"39,500,000.00"
13-May-13,118.38,110.23,--,"39,500,000.00"
14-May-13,118.38,110.23,--,"39,500,000.00"
15-May-13,118.38,110.23,--,"39,500,000.00"
16-May-13,118.39,110.24,--,"39,500,000.00"
17-May-13,118.38,110.23,--,"39,500,000.00"
20-May-13,118.39,110.23,--,"39,300,000.00"
21-May-13,118.39,110.23,--,"39,300,000.00"
22-May-13,118.39,110.23,--,"39,300,000.00"
23-May-13,118.39,110.24,--,"39,100,000.00"
24-May-13,118.38,110.22,--,"39,100,000.00"
28-May-13,118.39,110.23,--,"39,100,000.00"
29-May-13,118.39,110.23,--,"38,000,000.00"
30-May-13,118.39,110.23,--,"38,000,000.00"
31-May-13,118.38,110.22,--,"37,600,000.00"
03-Jun-13,118.39,110.23,0,"37,500,000.00"
04-Jun-13,118.39,110.23,--,"38,700,000.00"
05-Jun-13,118.39,110.23,--,"40,800,000.00"
06-Jun-13,118.39,110.23,--,"41,200,000.00"
07-Jun-13,118.38,110.22,--,"41,200,000.00"
10-Jun-13,118.39,110.23,--,"41,200,000.00"
11-Jun-13,118.39,110.23,--,"42,500,000.00"
12-Jun-13,118.39,110.23,--,"43,000,000.00"
13-Jun-13,118.39,110.23,--,"43,100,000.00"
14-Jun-13,118.39,110.22,--,"43,100,000.00"
17-Jun-13,118.39,110.23,--,"43,100,000.00"
18-Jun-13,118.39,110.23,--,"43,500,000.00"
19-Jun-13,118.39,110.23,--,"43,600,000.00"
20-Jun-13,118.39,110.23,--,"43,600,000.00"
21-Jun-13,118.39,110.22,--,"43,600,000.00"
24-Jun-13,118.39,110.22,--,"42,800,000.00"
25-Jun-13,118.39,110.22,--,"42,800,000.00"
26-Jun-13,118.39,110.22,--,"42,800,000.00"
27-Jun-13,118.39,110.22,--,"42,800,000.00"
28-Jun-13,118.39,110.21,--,"42,800,000.00"
30-Jun-13,--,110.21,--,"42,800,000.00"
01-Jul-13,118.4,110.22,0,"43,700,000.00"
02-Jul-13,118.4,110.23,--,"44,000,000.00"
03-Jul-13,118.4,110.23,--,"45,100,000.00"
05-Jul-13,118.39,110.22,--,"45,100,000.00"
08-Jul-13,118.4,110.23,--,"45,200,000.00"
09-Jul-13,118.4,110.23,--,"45,500,000.00"
10-Jul-13,118.41,110.23,--,"45,800,000.00"
11-Jul-13,118.41,110.23,--,"45,800,000.00"
12-Jul-13,118.4,110.22,--,"45,800,000.00"
15-Jul-13,118.41,110.24,--,"45,800,000.00"
16-Jul-13,118.41,110.24,--,"45,700,000.00"
17-Jul-13,118.41,110.24,--,"45,700,000.00"
18-Jul-13,118.41,110.24,--,"45,700,000.00"
19-Jul-13,118.41,110.23,--,"45,700,000.00"
22-Jul-13,118.42,110.24,--,"45,600,000.00"
23-Jul-13,118.42,110.24,--,"44,700,000.00"
24-Jul-13,118.42,110.24,--,"44,400,000.00"
25-Jul-13,118.42,110.24,--,"44,400,000.00"
26-Jul-13,118.41,110.23,--,"44,400,000.00"
29-Jul-13,118.42,110.24,--,"44,900,000.00"
30-Jul-13,118.42,110.24,--,"41,900,000.00"
31-Jul-13,118.42,110.24,--,"41,900,000.00"
01-Aug-13,118.42,110.24,0,"41,900,000.00"
02-Aug-13,118.41,110.23,--,"41,900,000.00"
05-Aug-13,118.42,110.23,--,"41,900,000.00"
06-Aug-13,118.42,110.23,--,"41,900,000.00"
07-Aug-13,118.42,110.23,--,"41,900,000.00"
08-Aug-13,118.42,110.24,--,"41,900,000.00"
09-Aug-13,118.42,110.23,--,"41,900,000.00"
12-Aug-13,118.42,110.23,--,"42,100,000.00"
13-Aug-13,118.42,110.23,--,"42,100,000.00"
14-Aug-13,118.42,110.24,--,"42,100,000.00"
15-Aug-13,118.42,110.23,--,"42,100,000.00"
16-Aug-13,118.42,110.23,--,"42,100,000.00"
19-Aug-13,118.42,110.23,--,"42,100,000.00"
20-Aug-13,118.42,110.24,--,"42,100,000.00"
21-Aug-13,118.43,110.24,--,"42,100,000.00"
22-Aug-13,118.43,110.24,--,"41,600,000.00"
23-Aug-13,118.42,110.23,--,"40,000,000.00"
26-Aug-13,118.43,110.24,--,"34,700,000.00"
27-Aug-13,118.43,110.24,--,"34,700,000.00"
28-Aug-13,118.43,110.24,--,"33,700,000.00"
29-Aug-13,118.43,110.24,--,"33,700,000.00"
30-Aug-13,118.43,110.23,--,"33,700,000.00"
03-Sep-13,118.43,110.24,0,"33,400,000.00"
04-Sep-13,118.43,110.24,--,"33,900,000.00"
05-Sep-13,118.43,110.24,--,"33,900,000.00"
06-Sep-13,118.43,110.23,--,"33,900,000.00"
